Filename,Comprehensibility,Emotion precision,Disturbing artifacts,Naturalness,General speech quality,,Mean
angry__female.wav,5,4,5,4,5,,"4,6"
angry__male.wav,5,5,5,5,5,,5
angry_strongIntensity__female.wav,5,5,5,5,5,,5
angry_strongIntensity__male.wav,5,5,5,5,5,,5
basicTTS.wav,5,3,4,2,5,,"3,8"
calm__female.wav,5,5,5,4,5,,"4,8"
calm__male.wav,4,5,2,2,4,,"3,4"
calm_strongIntensity__female.wav,5,5,5,5,5,,5
calm_strongIntensity__male.wav,5,4,4,4,4,,"4,2"
disgust__female.wav,5,5,5,5,5,,5
disgust__male.wav,4,2,3,2,4,,3
disgust_strongIntensity__female.wav,5,4,5,5,5,,"4,8"
disgust_strongIntensity__male.wav,5,5,5,5,5,,5
fearful_female.wav,5,5,5,5,5,,5
fearful_male.wav,5,4,5,5,4,,"4,6"
fearful_strongIntensity__female.wav,5,5,5,5,5,,5
fearful_strongIntensity__male.wav,5,5,5,5,5,,5
happy__female.wav,5,5,5,5,5,,5
happy__male.wav,4,3,3,4,3,,"3,4"
happy_strongIntensity__female.wav,5,4,5,5,5,,"4,8"
happy_strongIntensity__male.wav,5,4,5,4,5,,"4,6"
neutral__female.wav,5,5,5,5,5,,5
neutral__male.wav,4,5,1,4,4,,"3,6"
sad__female.wav,5,5,5,5,5,,5
sad__male.wav,5,5,5,5,5,,5
sad_strongIntensity__female.wav,5,5,5,5,5,,5
sad_strongIntensity__male.wav,5,5,5,5,5,,5
surprised__female.wav,5,5,5,5,5,,5
surprised__male.wav,5,5,5,4,5,,"4,8"
surprised_strongIntensity__female.wav,5,5,5,5,5,,5
surprised_strongIntensity__male.wav,5,5,5,5,5,,5
,,,,,,,
,,,,,,,
Sample Size,,,,,,,
12,,,,,,,
Max,,,,,,,
5,,,,,,,
Min,,,,,,,
1,,,,,,,
